Parent,Venture,Description,Link
Binance,lifeform,,https://lifeform.cc/
Binance,magicsquare,,https://magicsquare.io/
Binance,tatsumeeko,,https://tatsumeeko.com/
Binance,zecrey,,https://www.zecrey.com/
Binance,pstake,,https://pstake.finance/
Binance,meritcircle,,https://meritcircle.io/
Binance,senderwallet,,https://senderwallet.io/
Binance,communitygaming,,https://www.communitygaming.io/
Binance,skymavis,,https://www.skymavis.com/
Binance,stepn,,https://stepn.com/
Binance,aptoslabs,,https://aptoslabs.com/
Binance,tea,,https://tea.xyz/
Binance,ultiverse,,https://www.ultiverse.io/
Binance,voxies,,https://www.voxies.io/
Binance,symbiosis,,https://symbiosis.finance/
Binance,manta,,https://www.manta.network/
Binance,ata,,https://www.ata.network/
Binance,fantoken,,https://fantoken.com/psg/
Binance,juventus,,https://www.juventus.com/en/
Binance,dusk,,https://dusk.network/
Binance,socios,,https://www.socios.com/og/
Binance,fantoken,,https://fantoken.com/atm/
Binance,arpachain,,https://arpachain.io/
Binance,asroma,,https://www.asroma.com/en
Binance,path,,https://path.one/
Binance,astar,,https://astar.network/
Binance,numbersprotocol,,https://www.numbersprotocol.io/
Binance,hackerlink,,https://hackerlink.io/
Binance,mythicalgames,,https://mythicalgames.com/
Binance,anyswap,,https://anyswap.exchange/
Binance,elfinkingdom,,https://elfinkingdom.com/home
Binance,leagueofkingdoms,,https://www.leagueofkingdoms.com/
Binance,bbsnetwork,,https://www.bbsnetwork.io/
Binance,starrynift,,https://starrynift.art/
Binance,space-metaverse,,https://space-metaverse.com/
Binance,solv,,https://solv.finance/home
Binance,coin98,,https://coin98.com/
Binance,mobox,,https://www.mobox.io/#/
Binance,woo,,https://woo.org/
Binance,nine-chronicles,,https://nine-chronicles.com/
Binance,gamee,,https://www.gamee.com/
Binance,mavia,,https://www.mavia.com/
Binance,cosmicguild,,https://cosmicguild.io/
Binance,blockapescissors,,https://www.blockapescissors.com/
Binance,copycat,,https://www.copycat.finance/
Binance,raydius-research,,https://www.raydius-research.com/#/
Binance,tranching,,https://tranching.com/
Binance,gat,,https://gat.network/
Binance,skyarkchronicles,,https://www.skyarkchronicles.com/
Binance,mint,,https://mint.club/
Binance,wombat,,https://www.wombat.exchange/
Binance,figment,,http://figment.io/
Binance,app,,https://app.1inch.io/#/1/swap/ETH/DAI
Binance,alienworlds,,https://alienworlds.io/
Binance,alphafinance,,https://alphafinance.io/
Binance,audius,,https://audius.co/
Binance,axieinfinity,,https://axieinfinity.com/
Binance,bandprotocol,,https://bandprotocol.com/
Binance,bella,,https://bella.fi/
Binance,biswap,,https://biswap.org/
Binance,bitsika,,https://bitsika.africa/
Binance,bittorrent,,https://www.bittorrent.com/
Binance,pancakebunny,,https://pancakebunny.finance/
Binance,capitalise,,https://capitalise.ai/
Binance,cartesi,,https://cartesi.io/
Binance,celer,,https://www.celer.network/
Binance,celestia,,https://celestia.org/
Binance,cere,,https://cere.network/
Binance,certik,,https://www.certik.org/
Binance,chiliz,,https://www.chiliz.com/en/
Binance,cocosbcx,,https://www.cocosbcx.io/
Binance,contentos,,https://www.contentos.io/
Binance,dodoex,,https://dodoex.io/
Binance,duneanalytics,,https://duneanalytics.com/home
Binance,elrond,,https://elrond.com/
Binance,fioprotocol,,https://fioprotocol.io/
Binance,harmony,,https://www.harmony.one/
Binance,highstreet,,https://www.highstreet.market/
Binance,hoprnet,,https://hoprnet.org/
Binance,injectiveprotocol,,https://injectiveprotocol.com/
Binance,kava,,https://www.kava.io/
Binance,keylabs,,https://keylabs.io/
Binance,koi,,https://koi.trade/
Binance,layerzero,,https://layerzero.network/
Binance,litentry,,https://www.litentry.com/
Binance,marlin,,https://www.marlin.pro/
Binance,marsfinance,,http://www.marsfinance.net/
Binance,mathwallet,,https://mathwallet.org/en-us/
Binance,polygon,,https://polygon.technology/
Binance,melos,,https://www.melos.studio/
Binance,mobilecoin,,https://www.mobilecoin.com/
Binance,moonbeam,,https://moonbeam.network/
Binance,myneighboralice,,https://www.myneighboralice.com/
Binance,nfkings,,http://www.nfkings.io/
Binance,nymtech,,https://nymtech.net/
Binance,oasislabs,,https://www.oasislabs.com/
Binance,perlinx,,https://perlinx.finance/
Binance,perp,,https://perp.com/
Binance,phishfort,,https://www.phishfort.com/
Binance,reef,,https://reef.finance/
Binance,republic,,https://republic.co/
Binance,sandbox,,https://www.sandbox.game/en/
Binance,starsharks,,https://starsharks.com/
Binance,swipe,,https://swipe.io/
Binance,tellor,,https://www.tellor.io/
Binance,tokocrypto,,https://www.tokocrypto.com/
Binance,tor,,https://tor.us/
Binance,tranchess,,https://tranchess.com/
Binance,travala,,https://www.travala.com/
Binance,troytrade,,https://troytrade.com/
Binance,wing,,https://wing.finance/
Binance,xend,,https://xend.finance/
Binance,openleverage,,https://openleverage.finance/
Binance,openocean,,https://openocean.finance/
Binance,secondlive,,https://secondlive.world/
Binance,web3go,,https://web3go.xyz/
Binance,alta,,https://alta.exchange/
Binance,privasea,,https://www.privasea.tech/
Binance,velvet,,https://www.velvet.capital/
Binance,safepal,,https://www.safepal.com/
Coinbase,(O)1 Labs,Building a private and secure Web3 through zero-knowledge; powering Mina Protocol,
Coinbase,0x,DEX infrastucture & DeFi liquidity aggregator,
Coinbase,Acala,DeFi hub of Polkadot,
Coinbase,Affine,Cross-chain DeFi portfolio management,
Coinbase,Airtm,Global P2P payment network based in LatAm,
Coinbase,Alchemy,Leading blockchain development platform,
Coinbase,Aleo,"Private, programmable L1 pioneering toolkit for building private applications",
Coinbase,AlgoFi,All-in-one DeFi hub on Algorand,
Coinbase,Alliance DAO,Leading Web3 accelerator and founder community,
Coinbase,Alluvial,"Enterprise-focused, multi-chain liquid staking solution",
Coinbase,Alongside,"Cryptoasset index funds for passive, long-term investing",
Coinbase,Alta Labs,"Carta for crypto (cap table management, token vesting schedules, etc.)",
Coinbase,Altered State Machine,"Platform to build, train & trade AI agents using NFTs",
Coinbase,Alto,Self-directed IRA enabling investments in crypto & alternative assets,
Coinbase,Amber Group,Leading diversified crypto trading platform focused on the Asian market,
Coinbase,Amberdata,Comprehensive blockchain data & insights tool,
Coinbase,Ancient8,Vietnam-based gaming guild/DAO building GameFi infrastructure,
Coinbase,Anima,Platform and studio specializing in AR for NFTs,
Coinbase,Animoca Brands,Leader in branded (NFT/IP-focused) blockchain gaming,
